Issue,Subject,Company,status,product_area,response,justification,request_type
,,,replied,account_management,Access to a workspace can only be restored by a workspace Admin or Owner. Support cannot override an admin removal. Please contact your organization’s workspace Admin or Owner to have your seat reinstated.,"Section 1 states that only a workspace Admin or Owner can restore a seat after an IT admin removes it, and support cannot override admin removals.",product_issue
,,,replied,test_management,"Based on the support documentation: source url: ""https://support.hackerrank.com/articles/7795424803 ibm kenexa brassring hackerrank tests integration"" article slug: ""7795424803 ibm kenexa brassring hackerrank tests integration"" last updated exact: ""Dec 28, 2024, 4:09 AM"" last updated relative: ""Last updated 1 year ago"" breadcrumbs: ""Integrations"" ""Applicant Tracking Systems"" ""IBM Kenexa Brassring"" IBM Kenexa BrassRing HackerRank Tests Integration Last updated: Dec 28, 2024, 4:09 AM (Last updated 1 year ago) Overview The below diagram describes the workflow of the BrassRing and HackerRank integration for recruiters. Recruiters will move a candidate into a custom HackerRank Test status. Upon entering this status, BrassRing will dispatch a payload to HackerRank via the candidate Export API. HackerRank will then send a test i...",Extractive fallback from local corpus (test_management). Note: LLM escalated despite available corpus context.,product_issue
,,,replied,payment_dispute,"If you have a problem with a merchant – such as receiving the wrong product and not receiving a response – you can report the issue using the merchant complaint form: https://usa.visa.com/Forms/visa-rules.html. Fill out the form with the details of the transaction and the merchant, and Visa will forward the information to the appropriate parties for investigation.",Guidance to report merchant issues is provided in Section 1 under 'I have concerns about a place where I used my Visa card. What should I do?' which directs users to fill out the form at /Forms/visa-rules.html. This matches the user's request for action against a merchant.,product_issue
,,,replied,interview_management,"We’re sorry you’re experiencing issues. To request a refund for your mock interview purchase, please email us at help@hackerrank.com. Our support team will review your request promptly.","Section 1 states that for accidental purchases or dissatisfaction with a mock interview, users should contact help@hackerrank.com for a refund.",bug
,,,replied,billing_payment,"Based on the support documentation: What should I do if I encounter an issue during my interview? Use a supported browser and run the System Compatibility Check to identify browser, network, or device issues. If the issue persists, contact support@hackerrank.com and include your interview link.",Extractive fallback from local corpus (billing_payment). Note: LLM escalated despite available corpus context.,product_issue
,,,replied,integrations_security,"Based on the support documentation: Phase 1: Plan Step 1: Define your hiring process Before the role can be promoted, Talent Acquisition, Hiring Managers, and Subject Matter Experts should all work together to define what the assessment and hiring process should work. Factors to consider: What role are you hiring for? Will they be an intern? Campus hiring? Or blast off to everyone? How can we reduce bias in our hiring process? Who will be your SME? Will there be an ATS integration for housing data? Subject matter experts are vital in the planning stage. These individuals are typically experienced developers within the business. They could potentially be the hiring manager. As the SME, they ensure the most effective and efficient assessments/questions/processes are leveraged by your organization. This will be true for any...",Extractive fallback from local corpus (integrations_security). Note: LLM escalated despite available corpus context.,product_issue
,,,replied,community_certification,"Based on the support documentation: Using Certify To begin using the Certify experience: 1. Log in to SkillUp using your credentials. 2. Go to the Certify tab. 3. Select a role certification track (for example, Frontend Developer React ). 4. Review the list of required practice challenges. 5. Solve each practice challenge at your own pace. The AI tutor is available for support during practice. 6. Complete all required practice challenges to unlock the certification assessment. 7. Attempt the certification when you are ready. Note: Certification is a timed assessment conducted on the HackerRank platform. Common use cases A developer preparing to transition into a specialized frontend role, such as Angular development, wants to demonstrate their capabilities. An employee aiming for internal mobility uses certifications to v...",Extractive fallback from local corpus (community_certification). Note: LLM escalated despite available corpus context.,bug
,,,replied,test_management,"Based on the support documentation: 1. Log in to your SkillUp account using your credentials. 2. Locate the weekly challenge banner on the right side of the homepage. The banner displays the remaining time to attempt the challenge, along with the current and previous week leaderboards. Leaderboard Each weekly challenge includes a leaderboard that ranks participants within the same organization. Leaderboards allow users to: Compare their submissions with peers Learn from top performing solutions Track progress across multiple challenges Note: Users can view the previous week’s challenge and winning submissions to learn from them. Evaluating weekly challenges Weekly Challenges use token efficiency to evaluate submissions. Total score = Input tokens (prompt) + Output tokens (generated code) Lower scores rank higher If scores...",Extractive fallback from local corpus (test_management). Note: LLM escalated despite available corpus context.,product_issue
,,,replied,test_management,"Please run the system compatibility check at https://www.hackerrank.com/compatibility to verify your audio/video settings and internet strength. If the Zoom connectivity issue persists after confirming all criteria match, contact HackerRank Support at support@hackerrank.com so they can investigate the specific error you are encountering.","The documentation provides a compatibility check link for interview connectivity issues (Section 4) and lists the support email for further assistance (Section 4). Since the user’s problem requires human investigation, we give them the prescribed contact method.",bug
,,,replied,test_management,Based on the support documentation: 2. Go to the Activities & Progress tab. 3. Select the stage where the candidate completed the AI interview to view following details: Status: The status of the assessment. Finished: Date and time when the candidate completed the assessment. Score: Candidate’s final interview score. Report URL: Click View in HackerRank to open the detailed report in Chakra. Assessment Sent Date: Date and time when the assessment was sent to the candidate. Test Start Date: Date and time when the candidate started the assessment. Test Duration: The total time taken to complete the assessment by the candidate. Max Score: The maximum score a candidate can achieve in the assessment. Plagiarism: Indicates whether potential plagiarism is detected \ Section 2 (Document: Hackerrank\Integrations\Applicant Tracking...,Extractive fallback from local corpus (test_management). Note: LLM escalated despite available corpus context.,feature_request
