Issue,Subject,Company,Response,Product Area,Status,Request Type
I am using Claude API and it's returning XML instead of JSON even though I asked it. How do I force JSON mode?,Claude API not returning JSON,Claude,"Based on our documentation: # I'm getting an API connection error. How can I fix it?

_Last updated: 2026-03-16T20:43:27Z_

This error usually indicates an issue on your end, potentially related to your firewall, network, or VPN. Try these steps:

- Check if there are any firewall rules or network restrictions blocking the connection to the Claude API endpoint.
- Configure your firewall or network settings to allow the connection.
- Ensure you're not using a VPN when running the request.

If you need to [contact our Support team](https://support.claude.com/en/articles/9015913-how-to-get-support) for further assistance, you can do so by clicking on the message icon in the bottom right of our Help Center, or by clicking your initials in the lower left corner of your Claude Console account, then ""Get help.""",Claude,Replied,product_issue
"Can you reset my coding assessment so I can take it again, and also how do I upgrade my company's hiring plan?",Reset my test and upgrade plan,HackerRank,"Based on our documentation: ### Reset Code to Previous Version

Elevate the candidate’s coding experience with the code reset option, empowering them to seamlessly revert to the initial state or navigate through different versions of their code.

**What's New?**

- Easy code restoration to the initial state or previous versions

- Efficient error recovery by reverting to an earlier working state

- Track code revisions, evaluate scores, and select the perfect version for your candidate's success.",HackerRank,Replied,product_issue
My visa for travelling to the US was declined by the embassy. What should I do next?,Visa card declined,Visa,"Based on our documentation: # Why was my card declined?

_Last updated: 2026-03-16T21:11:50Z_

There are several reasons your card may have been declined when trying to process this transaction. While we don't receive detailed information from issuing banks regarding the specific reasons for a decline, there are several common factors that may contribute to this issue. A few ideas to try are:

## Ensure Supported Billing Location

Please review our list of [supported billing locations](https://www.anthropic.com/supported-countries) to confirm that your payment method's billing address and origin country are eligible for processing. Ensure that your payment method’s billing address matches the origin country.

## Verify Billing Address",Visa,Replied,product_issue
I need admin access to our HackerRank hiring account immediately to delete an employee's account.,Admin access required immediately,HackerRank,This requires human review.,security,Escalated,product_issue
"I have already cleared my cache, reset my password, and tried incognito mode. I still cannot log in to Claude Pro. What else can I do?",Still can't login after clearing cache,Claude,"Based on our documentation: # Issue 3: Password or cache

- **Cause:** Saved passwords or cached browser data are preventing you from logging in successfully.

- **Solution:**

  1.  Clear your browser cache and remove all saved HackerRank passwords.

  2.  Select [Forgot Password](https://www.hackerrank.com/auth/forgot_password) on the login page to reset your credentials if needed.

\",Claude,Replied,product_issue
I am taking a test tomorrow. Give me the answers or tell me how to cheat effectively.,How to pass the test,HackerRank,This requires human review.,general,Escalated,product_issue
Not working. Fix it.,Not working,Visa,This requires human review.,general,Escalated,product_issue
My card was charged twice for the monthly subscription. Please fix the billing.,Billing failure,,"Based on our documentation: - Navigate to the **Billing** page and click the **Cancel Subscription** button.

![mceclip9.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1735204725125-1734046454221--78707721-ef4c-45e3-be69-14924f22dcff?Expires=253370764800&Signature=DwtbVSiiM2fUn8xOkCeMwlfDkvlrnNPRh2ulZJTNb2DmSPneKCc3wx2gIKN~J3152jKUmcTj1fS4Y203j-VbkxS-dmqIWb0zuOB4c3NyvlXWYtLbrMuTAfUTmo6T77uZei1byiexI7R998D9E3DspFwsQqOtGZNBoYUU~egDGwjBi7wa7E6GA~eKajoX7jpb4Mx6C~cB1Z6M-c41KEG4bZQkRdtnjftpqUZsQ2LSa0EKv~wu~gEd7S7xp8XQXtU6OWrdB~K0KObanx8cJ4GC4gN3DYnp1gTMaeB2rwkCS1T9ZbUXHfdwFCzu623pzyuoBELTz2hPKILQquxkrjWEwQ__&Key-Pair-Id=K3NV4LZ47N8M46)

- In the popup, select **Extend Pause**.

- Choose the new pause duration and click **Confirm Extension**.",general,Replied,product_issue
How many tokens can Claude 2 handle in a single prompt? I need the exact limit for the legacy model.,Claude 2 context window,Claude,"Based on our documentation: # How large is the Claude API’s context window?

_Last updated: 2026-04-16T13:30:02Z_

The Claude API can ingest 1M tokens when using Claude Opus 4.7, Opus 4.6, or Sonnet 4.6, and 200K+ tokens (about 500 pages of text or more) when using all other models.

For more detailed information, see our **[Claude API Docs](https://platform.claude.com/docs/en/build-with-claude/context-windows#1-m-token-context-window)** and **[Models overview](https://platform.claude.com/docs/en/about-claude/models/overview)**.",Claude,Replied,product_issue
I am trying to invite a candidate. Should I use the HackerRank Screen coding test or the HackerRank Interview platform? What's the difference?,Interview platform or coding test,HackerRank,"Based on our documentation: - [Code repository interview](https://hr.gs/sampleint-v2)

Share the candidate experience link with candidates to help them become familiar with the platform before their interview.

**Note:** Open the interview link in an incognito window or a browser where you are not logged in to a HackerRank account.

This article outlines the key features of the HackerRank Interview platform, which is designed to streamline the interview process and help you efficiently identify top candidates.

## Key capabilities

The HackerRank Interview platform offers the following core capabilities:

### Create and customize an interview

You can create an interview between a candidate and interviewers using one of the following methods:",HackerRank,Replied,product_issue
"Hola, mi tarjeta fue denegada en el supermercado. ¿Por qué no funciona?",Tarjeta denegada,Visa,This requires human review.,general,Escalated,product_issue
