ticket_id,domain,request_type,product_area,action,response,escalation_reason,retrieved_doc_urls,confidence
T001,claude,product_issue,workspace_access,reply,I don't have enough information in our support documentation to answer this. Please contact our support team directly.,,https://support.claude.com/en/articles/10166901-use-google-workspace-connectors; https://support.claude.com/en/articles/13133750-manage-members-on-team-and-enterprise-plans; https://support.claude.com/en/articles/13930458-set-up-role-based-permissions-on-enterprise-plans; https://support.claude.com/en/articles/13133195-set-up-jit-or-scim-provisioning; https://support.claude.com/en/articles/13393991-purchase-and-manage-seats-on-enterprise-plans,1.0
T002,hackerrank,product_issue,candidates,reply,I don't have enough information in our support documentation to answer this. Please contact our support team directly.,,https://support.hackerrank.com/articles/5269412517-mitigating-candidate-drop-off; https://support.hackerrank.com/articles/1999755553-workday---hackerrank-tests-user-guide; https://support.hackerrank.com/articles/3678461564-greenhouse-hackerrank-integration-faqs; https://support.hackerrank.com/articles/7483769801-mid-level; https://support.hackerrank.com/articles/3094540490-candidate-status-in-api-results,1.0
T003,visa,product_issue,transaction,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Billing disputes require human review. A human agent will contact you shortly.,Billing disputes require human review,,0.95
T004,hackerrank,product_issue,interviews,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Billing disputes require human review. A human agent will contact you shortly.,Billing disputes require human review,,0.95
T005,claude,product_issue,billing,reply,"I understand you're experiencing an issue with your payment. According to our support documentation, here is how you can address this:

**Requesting a Refund**
Per the document **""Requesting a refund for a paid Claude plan,""** all payments are non-refundable except where required by law or as provided in our Consumer Terms of Service. To check your eligibility and request a refund:
1. Log in to your Claude account.
2. Click your initials or name in the lower left corner and select **“Get help.”**
3. Click **“Send us a message.”**
4. Select **“Claude Refund Request”** from the available options and follow the prompts.

**General Support**
If you need further assistance with your specific order ID, the document **""How to get support""** notes that you can contact the Product Support team through the support messenger:
1. In the **""Get help""** menu, click **""Send us a message.""**
2. Select the issue that best matches your situation from the available options.
3. Provide the requested details, including your order ID, when prompted. 

Please note that we do not offer phone or live chat support (Document: **""How to get support""**).",,https://support.claude.com/en/articles/9015913-how-to-get-support; https://support.claude.com/en/articles/14553517-claude-code-common-developer-use-cases; https://support.claude.com/en/articles/9402418-why-was-my-card-declined; https://support.claude.com/en/articles/12386328-requesting-a-refund-for-a-paid-claude-plan; https://support.claude.com/en/articles/11818288-why-am-i-being-asked-to-verify-my-payment-method,0.95
T006,hackerrank,invalid,security,reply,I don't have enough information in our support documentation to answer this. Please contact our support team directly.,,https://support.hackerrank.com/articles/1216495690-early-talent-; https://help.hackerrank.com/articles/7358354033-set-up-quick-apply; https://support.hackerrank.com/articles/2625349560-professional-hire; https://support.hackerrank.com/articles/9695299159-onboarding-candidates; https://support.hackerrank.com/articles/7483769801-mid-level,1.0
T007,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T008,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T009,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T010,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T011,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T012,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T013,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T014,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
