status,product_area,response,justification,request_type
escalated,account_management,"This needs action from an authorized workspace owner, admin, or primary owner. For Team and Enterprise non-owners, human specialist escalation must be done by the account's owner or admin through Claude's Get help flow.",Escalated because seat restoration is an account-admin action and the corpus says non-owners need an owner or admin to escalate on their behalf.,product_issue
escalated,screen,"This requires human review by the hiring team. HackerRank documents how interviewers can view detailed reports and imported screening results, but score changes and hiring outcomes are not something this support agent can override.","Escalated because the ticket asks for score and hiring-outcome changes, which are not a supported self-serve action in the corpus.",product_issue
replied,general_support,"To dispute the charge, contact your issuer or bank using the number on your Visa card. Visa's consumer support guidance says your issuer or bank will require transaction details before resolving a disputed charge. If you also have concerns about the merchant, Visa provides a separate merchant-concern form.",Replied with the documented dispute path instead of guessing or promising a refund or merchant ban.,product_issue
escalated,community,"This needs human review. The mock interview documentation covers prerequisites, previous attempts, and credits, but it does not provide a self-serve refund flow for interrupted sessions.",Escalated because the corpus does not document a self-serve refund path for interrupted mock interviews.,bug
escalated,account_management,This billing issue needs human support review because it is account-specific and requests a payment outcome.,Escalated because the corpus does not provide a self-serve path for account-specific payment disputes with order identifiers.,product_issue
escalated,general_support,This requires human follow-up from HackerRank because security questionnaires and customer-specific infosec forms are not handled by the local support corpus.,Escalated because the corpus does not document a self-serve flow for vendor security questionnaire completion.,product_issue
replied,general_support,"This appears to be a product issue. Use the documented support path for the product involved, and escalate to human support if the issue is broad or account-specific.","Fallback bug handling based on ticket language and local corpus matches: July 2025 Release Notes Screen Screen Features Available in the AI Add-on Package Skills Platform Developer Experience Interview Interview Features Available in the AI Add-on Package SkillUp Engage, April 2026 Release Notes Screen Interview Platform Chakra (AI Interviewer) SkillUp Community Deprecations and Experience Changes.",bug
escalated,general_support,This looks like a platform outage or broad submission failure and should be escalated to human support for investigation.,Escalated because the ticket describes a broad service failure rather than a documented self-serve workflow.,bug
replied,interviews,"For HackerRank interviews, ensure the required Zoom domains and related interview endpoints are allowlisted. The allowlist guidance explicitly includes `zoom.us`, `*.zoom.us`, `twilio.com`, `twiliocdn.com`, Firebase, and HackerRank interview domains.",Replied with the documented network allowlist guidance for interview audio and video connectivity issues.,bug
escalated,screen,"Rescheduling needs to be approved by the recruiter or assessment owner. The corpus documents how organizers can reschedule interviews from the Interview Details panel, but it does not give candidates a self-serve way to reschedule an assessment.","Escalated because rescheduling is controlled by the organizer, not the candidate.",product_issue
replied,interviews,"HackerRank documents that if no other interviewer is present after someone leaves, the candidate moves to the lobby and the interview ends automatically after one hour of inactivity. If interviewers are screen sharing and not interacting with the interview page, review your interview flow and ensure an interviewer remains active in the session when needed.",Replied with the documented lobby and inactivity behavior from the interview-ending guidance.,product_issue
replied,,"I need more detail to map this to a supported workflow. Please include the product, the action you were taking, and the exact failure.",Marked invalid because the request is too vague to classify against the supported corpus.,invalid
replied,account_management,"If you have Company Admin or Team Admin access, go to your profile icon, open Teams Management, select the team, open the Users tab, and use the delete icon in the Action column to remove the user. The corpus notes that team-member management requires Company Admin or Team Admin access.",Replied with the documented team-member removal workflow and its admin prerequisite.,product_issue
