Issue,Subject,Company,Response,Product Area,Status,Request Type
My HackerRank test link expired before I could start. I was invited last week but now it says the test is no longer available.,Test link expired,HackerRank,This requires human review.,security,Escalated,product_issue
I want to know how to set an expiry time for a HackerRank test I created. Where do I find this setting?,How to set test expiry,HackerRank,This requires human review.,security,Escalated,product_issue
The candidate I invited to take the test says they never received the email invite. How do I resend it?,Candidate did not receive test invite,HackerRank,"Based on our documentation: **Note:** Once you delete a candidate’s submission, the candidate can either retake the test using their original invitation link or you can send a new invitation. For more information, see [📄 Reinviting Candidates to a Test](/articles/1002936098).

\",HackerRank,Replied,product_issue
My HackerRank Screen test is showing zero submissions even though candidates have taken it. The dashboard seems broken.,Test dashboard showing wrong data,HackerRank,This requires human review.,security,Escalated,product_issue
I accidentally deleted a question from my question library. Can I recover it?,Accidentally deleted a question,HackerRank,"Based on our documentation: You can restore archived questions if you need to use them again.

To unarchive a question:

1.  Go to the **Library** tab.

2.  Select the **Tests** or **Interview** tab.

3.  Select **My Company** as the source of questions from the **Library** drop-down.

4.  Select the **Filter** icon and choose **Archived \> Show Archived Questions Only**. Only archived questions appear.",HackerRank,Replied,product_issue
How do I add multiple recruiters to my HackerRank company account so they can manage assessments?,Adding multiple recruiters to account,HackerRank,This requires human review.,security,Escalated,product_issue
My candidate flagged as suspicious during a proctoring session but I reviewed the video and believe it was a false positive. Can I override this?,Proctoring false positive,HackerRank,"Based on our documentation: 4.  Expand the **Photo ID** section to view the candidate’s photo.

# Image Proctoring

The **Image Proctoring** feature captures images of candidates at one-minute intervals during the test. By default, this feature is disabled. This feature within the **Test Integrity** settings is disabled by default for all the tests to monitor suspicious activity during the test.",HackerRank,Replied,product_issue
I am trying to create a coding challenge with pair programming support. Is that available on HackerRank?,Pair programming challenge setup,HackerRank,This requires human review.,security,Escalated,product_issue
I completed the HackerRank SkillUp course but my certificate has not appeared in my profile after 3 days.,SkillUp certificate not showing,HackerRank,This requires human review.,security,Escalated,product_issue
How do I download the full candidate report including their code submissions and proctoring video?,Downloading candidate report,HackerRank,"Based on our documentation: Learn more on how to download **candidate **data from a **CodePair **interview from our support article: [Viewing a CodePair report](https://support.hackerrank.com/articles/6788713830-viewing-interview-reports)[.](https://support.hackerrank.com/hc/en-us/articles/115007328727-Viewing-a-CodePair-report)

You can export or download the candidate's data following the below steps.

- Go to the **Candidates** tab inside a **Test**. 

- Click on the vertical ellipsis menu on the right side of a candidate's attempt and click on **Visit Profile.**",HackerRank,Replied,product_issue
Can I schedule a HackerRank interview directly from the platform or do I need to use a third-party calendar tool?,Scheduling interviews on HackerRank,HackerRank,This requires human review.,security,Escalated,product_issue
My company's ATS integration with HackerRank stopped syncing candidate results yesterday. We use Greenhouse.,ATS integration issue with Greenhouse,HackerRank,This requires human review.,security,Escalated,product_issue
I want to restrict the coding test to only Python and Java. How do I remove other languages from the allowed list?,Restricting programming languages in test,HackerRank,"Based on our documentation: In the **Question** section, you can update the following:

    - **Allowed Languages:** Select the programming languages that candidates can use during the test. Only the selected languages are available for coding questions.

    - **Configuration for Coding Question:**

      - **Show Status of Hidden Test Cases**: Select this option to show candidates whether they pass or fail hidden test cases after submission.

      - **Show Output of Hidden Test Cases**: Select this option to display the actual output of hidden test cases and provide detailed feedback for the candidates.

    - **Question Points**: Turn on this option to display the point value for each question. Disabling it may encourage candidates to focus on problem-solving rather than maximizing scores.",HackerRank,Replied,product_issue
