issue,subject,company,status,product_area,response,justification,request_type
I cannot log in to my account. I keep getting an error saying my password is incorrect even after resetting it.,Account Login Issue,TechCorp Inc,replied,account_management,"Thank you for contacting HackerRank Support. Based on our support documentation, here is the information relevant to your query:

# Account Management - HackerRank Support Policy ## Password Reset If a user is unable to log in, they should follow the standard password reset process: 1. Click ""Forgot Password"" on the login page. 2. Enter the registered email address. 3. A reset link will be sent to the email within 5 minutes. 4. The link expires in 24 hours. 5. If the email is not received, check spam/junk folders. 6. Contact support if the registered email is no longer accessible. ## Adding Admin Users Only existing account administrators can add new admin users. To add an admin: 1. Log in as an existing admin. 2. Navigate to Settings > Team Management. 3.

If this does not fully resolve your issue, please reply to this ticket with additional details and we will be happy to assist further.",Ticket classified as BUG in product area ACCOUNT_MANAGEMENT. High-confidence answer grounded in 'account_management.txt' (relevance score: 0.489). No risk flags detected. Responding with corpus-grounded information.,bug
Someone has unauthorized access to our company's HackerRank account. We suspect fraud and stolen credentials.,URGENT: Security Breach - Unauthorized Access,GlobalBank Ltd,escalated,security,"Thank you for contacting HackerRank Support. After reviewing your request, we are unable to fulfil it as it falls outside the scope of permitted actions under HackerRank's Terms of Service. If you believe this message was sent in error, please contact your account manager or reach out to support@hackerrank.com for further clarification.","Ticket flagged as HIGH-RISK (category: fraud_security). Such requests involve sensitive matters (security, fraud, policy violations, or data privacy) that exceed the scope of standard support. Escalating to the Security and Trust team for proper handling.",invalid
Can you please increase the score of our candidate John Doe from 65 to 85? We need him to pass.,Candidate Score Change Request,StartupXYZ,replied,assessments,"Thank you for contacting HackerRank Support. Thank you for your feature suggestion! We have noted your request. Here is some relevant information from our current documentation that may be helpful:

How are assessments graded? Assessments are graded automatically by HackerRank's evaluation engine. Code is compiled and run against hidden and visible test cases. Scores reflect the percentage of test cases passed. Scores are final and cannot be manually adjusted. ## Terms of Service Summary Users and companies must agree to HackerRank's Terms of Service. Key provisions include: - Users may not attempt to manipulate assessment scores or results. - Users may not share test content with candidates or publicly. - Companies may not use assessment data for purposes other than hiring evaluation. - Violations of the Terms of Service may result in immediate account suspension.

To formally submit your feature request, please visit our Feedback Portal at feedback.hackerrank.com. Feature requests are reviewed quarterly by our Product team, and popular requests may be added to the roadmap.",Ticket classified as a FEATURE REQUEST. Feature requests are directed to the product feedback portal for review. Response grounded in document: 'general_faq.txt' (relevance score: 0.324).,feature_request
The coding assessment is not loading on Chrome browser. It just shows a blank screen.,Assessment Not Loading,AcmeSoftware,replied,assessments,"Thank you for contacting HackerRank Support. Based on our support documentation, here is the information relevant to your query:

# Assessments - HackerRank Support Policy ## Supported Browsers HackerRank assessments are supported on the following browsers: - Google Chrome (version 80 and above) - Recommended - Mozilla Firefox (version 75 and above) - Microsoft Edge (Chromium-based, version 80 and above) - Safari (version 13 and above) on macOS If an assessment is not loading on Chrome: 1. Ensure Chrome is updated to the latest version. 2. Disable browser extensions, especially ad blockers. 3. Clear browser cache and cookies (Settings > Privacy > Clear Browsing Data). 4. Check that JavaScript is enabled. 5. Try opening the assessment in an incognito window. 6. Disable hardware acceleration in Chrome settings.

If this does not fully resolve your issue, please reply to this ticket with additional details and we will be happy to assist further.",Ticket classified as PRODUCT_ISSUE in product area ASSESSMENTS. High-confidence answer grounded in 'assessments.txt' (relevance score: 0.602). No risk flags detected. Responding with corpus-grounded information.,product_issue
We want a feature where candidates can take assessments on mobile devices.,Feature Request: Mobile Assessments,MobileFirst Co,replied,assessments,"Thank you for contacting HackerRank Support. Thank you for your feature suggestion! We have noted your request. Here is some relevant information from our current documentation that may be helpful:

# Assessments - HackerRank Support Policy ## Supported Browsers HackerRank assessments are supported on the following browsers: - Google Chrome (version 80 and above) - Recommended - Mozilla Firefox (version 75 and above) - Microsoft Edge (Chromium-based, version 80 and above) - Safari (version 13 and above) on macOS If an assessment is not loading on Chrome: 1. Ensure Chrome is updated to the latest version. 2. Disable browser extensions, especially ad blockers. 3. Clear browser cache and cookies (Settings > Privacy > Clear Browsing Data). 4. Check that JavaScript is enabled. 5. Try opening the assessment in an incognito window. 6. Disable hardware acceleration in Chrome settings.

To formally submit your feature request, please visit our Feedback Portal at feedback.hackerrank.com. Feature requests are reviewed quarterly by our Product team, and popular requests may be added to the roadmap.",Ticket classified as a FEATURE REQUEST. Feature requests are directed to the product feedback portal for review. Response grounded in document: 'assessments.txt' (relevance score: 0.601).,feature_request
I was charged twice for our subscription this month. Please issue a refund for the duplicate charge.,Billing Issue - Double Charge,Enterprise Solutions,escalated,billing,"Thank you for reaching out regarding your billing concern. Your case has been escalated to our Finance and Billing team for investigation. Please allow up to 5 business days for a resolution. If you have transaction IDs or receipts available, please reply to this ticket with those details to help us resolve your case faster.","Ticket flagged as HIGH-RISK (category: payment_dispute). Such requests involve sensitive matters (security, fraud, policy violations, or data privacy) that exceed the scope of standard support. Escalating to the Finance and Billing team for proper handling.",product_issue
How do I add a new admin user to our company account?,Adding Admin User,DataDriven LLC,replied,account_management,"Thank you for contacting HackerRank Support. Based on our support documentation, here is the information relevant to your query:

# Account Management - HackerRank Support Policy ## Password Reset If a user is unable to log in, they should follow the standard password reset process: 1. Click ""Forgot Password"" on the login page. 2. Enter the registered email address. 3. A reset link will be sent to the email within 5 minutes. 4. The link expires in 24 hours. 5. If the email is not received, check spam/junk folders. 6. Contact support if the registered email is no longer accessible. ## Adding Admin Users Only existing account administrators can add new admin users. To add an admin: 1. Log in as an existing admin. 2. Navigate to Settings > Team Management. 3.

If this does not fully resolve your issue, please reply to this ticket with additional details and we will be happy to assist further.",Ticket classified as PRODUCT_ISSUE in product area ACCOUNT_MANAGEMENT. High-confidence answer grounded in 'account_management.txt' (relevance score: 0.523). No risk flags detected. Responding with corpus-grounded information.,product_issue
Our candidates are reporting that the test timer is not working correctly and counts down too fast.,Timer Bug in Assessment,QualityTech,escalated,assessments,Thank you for reaching out to HackerRank Support. We have received your ticket and our team is reviewing it. Your request has been escalated to the appropriate specialist team who will be in touch with you shortly. We appreciate your patience and apologise for any inconvenience.,"Multi-intent ticket detected spanning 3 product areas (assessments, technical_issues, general). Complex multi-topic tickets are better handled by a specialised agent who can address all concerns accurately.",bug
I want to delete all candidate data from your servers immediately due to GDPR compliance.,GDPR Data Deletion Request,EuroFinance GmbH,escalated,privacy,Thank you for your data privacy request. This has been escalated to our Privacy and Compliance team who will process it in accordance with applicable data protection regulations (including GDPR). You can expect a response within 30 days as required by law.,"Ticket flagged as HIGH-RISK (category: data_privacy). Such requests involve sensitive matters (security, fraud, policy violations, or data privacy) that exceed the scope of standard support. Escalating to the Privacy and Compliance team for proper handling.",feature_request
What programming languages are supported in the code editor?,Supported Languages Query,DevHouse,escalated,assessments,Thank you for reaching out to HackerRank Support. We have received your ticket and our team is reviewing it. Your request has been escalated to the appropriate specialist team who will be in touch with you shortly. We appreciate your patience and apologise for any inconvenience.,"Retrieval confidence is too low (best score: 0.244, threshold: 0.3). The closest document found ('general_faq.txt') is not sufficiently relevant to provide a reliable answer. Escalating to avoid misinformation.",product_issue
